id,recipe_id,ingredient_id,quantite,unit,comment,created_at
1,1,4,400.00,g,,2025-12-27 11:53:59.717718
2,1,5,200.00,g,,2025-12-27 11:53:59.717718
3,1,21,200.00,g,,2025-12-27 11:53:59.717718
4,1,3,400.00,g,,2025-12-27 11:53:59.717718
5,2,7,3.00,Unit,,2025-12-27 11:53:59.717718
6,2,9,3.00,Unit,,2025-12-27 11:53:59.717718
7,2,10,3.00,Unit,,2025-12-27 11:53:59.717718
8,2,11,3.00,Unit,,2025-12-27 11:53:59.717718
9,2,12,3.00,Unit,,2025-12-27 11:53:59.717718
10,2,13,3.00,Unit,,2025-12-27 11:53:59.717718
11,2,1,500.00,g,,2025-12-27 11:53:59.717718
12,3,9,1.00,Unit,,2025-12-27 11:53:59.717718
13,3,7,2.00,Unit,,2025-12-27 11:53:59.717718
14,3,51,500.00,g,,2025-12-27 11:53:59.717718
15,3,55,45.00,ml,,2025-12-27 11:53:59.717718
16,3,10,4.00,Unit,,2025-12-27 11:53:59.717718
17,3,18,500.00,ml,,2025-12-27 11:53:59.717718
18,3,54,500.00,g,,2025-12-27 11:53:59.717718
19,3,19,700.00,ml,,2025-12-27 11:53:59.717718
20,3,45,2.00,Unit,,2025-12-27 11:53:59.717718
21,3,58,50.00,ml,,2025-12-27 11:53:59.717718
22,4,50,500.00,g,,2025-12-27 11:53:59.717718
23,4,55,45.00,ml,,2025-12-27 11:53:59.717718
24,4,10,4.00,Unit,,2025-12-27 11:53:59.717718
25,4,18,500.00,ml,,2025-12-27 11:53:59.717718
26,4,54,500.00,g,,2025-12-27 11:53:59.717718
27,4,19,700.00,ml,,2025-12-27 11:53:59.717718
28,4,45,2.00,Unit,,2025-12-27 11:53:59.717718
29,4,58,50.00,ml,,2025-12-27 11:53:59.717718
30,5,54,500.00,g,,2025-12-27 11:53:59.717718
31,5,22,500.00,g,,2025-12-27 11:53:59.717718
32,5,23,200.00,g,,2025-12-27 11:53:59.717718
33,5,27,1.00,Unit,,2025-12-27 11:53:59.717718
34,5,25,2.00,Unit,,2025-12-27 11:53:59.717718
35,5,7,1.00,Unit,,2025-12-27 11:53:59.717718
36,5,14,200.00,g,,2025-12-27 11:53:59.717718
37,5,24,1.00,Unit,,2025-12-27 11:53:59.717718
38,6,29,300.00,g,,2025-12-27 11:53:59.717718
39,6,30,400.00,g,,2025-12-27 11:53:59.717718
40,6,31,0.50,Unit,,2025-12-27 11:53:59.717718
41,6,36,2.00,Unit,,2025-12-27 11:53:59.717718
42,6,34,120.00,ml,,2025-12-27 11:53:59.717718
43,6,40,100.00,ml,,2025-12-27 11:53:59.717718
44,6,39,100.00,g,,2025-12-27 11:53:59.717718
45,6,24,0.50,Unit,,2025-12-27 11:53:59.717718
46,7,61,750.00,g,,2025-12-27 11:53:59.717718
47,7,36,8.00,Unit,,2025-12-27 11:53:59.717718
48,7,43,750.00,g,,2025-12-27 11:53:59.717718
49,7,7,2.00,Unit,,2025-12-27 11:53:59.717718
50,7,62,500.00,ml,,2025-12-27 11:53:59.717718
51,7,45,2.00,Unit,,2025-12-27 11:53:59.717718
52,7,49,30.00,g,,2025-12-27 11:53:59.717718
54,8,50,350.00,g,Pour la version carnée,2025-12-30 11:02:04.698878
55,11,12,2.00,unit,"",2026-01-04 12:36:00.169733
56,11,15,1.00,unit,"",2026-01-04 12:36:00.188084
